epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.50185,1.00617,3.7198,1.47596,0.01282,1,0.995,0.796,0.2918,3.97034,0.97935,0,0,0
2,3.07725,0.83382,3.62095,1.14595,0.01408,1,0.995,0.796,0.28892,3.96486,0.98037,9.802e-06,9.802e-06,9.802e-06
3,4.51754,0.73461,3.5733,1.26838,0.01587,1,0.995,0.796,0.27493,3.96157,0.94674,1.9208e-05,1.9208e-05,1.9208e-05
4,5.99772,0.86409,3.58395,1.30069,0.01887,1,0.995,0.995,0.24295,3.97194,0.93572,2.8218e-05,2.8218e-05,2.8218e-05
5,7.59423,0.71748,3.48138,1.17396,0.02,1,0.995,0.995,0.20477,3.96335,0.93213,3.6832e-05,3.6832e-05,3.6832e-05
6,9.11851,0.47827,3.42805,1.07188,0.02,1,0.995,0.995,0.18892,3.95187,0.93189,4.505e-05,4.505e-05,4.505e-05
7,10.8987,0.43107,3.35863,0.98294,0.02273,1,0.995,0.995,0.19057,3.96633,0.94854,5.2872e-05,5.2872e-05,5.2872e-05
8,13.3434,0.74384,3.89574,1.12492,0.02326,1,0.995,0.995,0.23422,3.97813,0.93648,6.0298e-05,6.0298e-05,6.0298e-05
9,16.0656,0.70984,3.6684,1.13121,0.02041,1,0.995,0.8955,0.28924,3.99264,0.96755,6.7328e-05,6.7328e-05,6.7328e-05
10,18.7407,0.51614,3.42711,1.02601,0.01887,1,0.995,0.8955,0.33929,3.99654,0.98214,7.3962e-05,7.3962e-05,7.3962e-05
11,21.4178,0.44908,3.37057,1.10694,0.02222,1,0.995,0.8955,0.37385,3.99473,0.99315,8.02e-05,8.02e-05,8.02e-05
12,24.0461,0.4658,3.26645,1.04687,0.02128,1,0.995,0.8955,0.39293,3.9945,1.02667,8.6042e-05,8.6042e-05,8.6042e-05
13,26.7278,0.7515,3.40027,1.23231,0.02381,1,0.995,0.597,0.42245,4.01198,1.039,9.1488e-05,9.1488e-05,9.1488e-05
14,29.3704,0.35609,3.48827,0.98192,0.02703,1,0.995,0.50165,0.43324,4.02589,1.07141,9.6538e-05,9.6538e-05,9.6538e-05
15,31.9924,0.41451,3.20441,0.96675,0.03333,1,0.995,0.6965,0.44857,4.02779,1.08952,0.000101192,0.000101192,0.000101192
16,34.6333,0.53568,3.18871,1.02225,0.04545,1,0.995,0.6965,0.49449,4.04728,1.10695,0.00010545,0.00010545,0.00010545
17,37.2827,0.44691,3.17274,0.93367,0.05882,1,0.995,0.6965,0.57022,4.08797,1.16535,0.000109312,0.000109312,0.000109312
18,39.8606,0.59747,3.41038,1.05362,0.05882,1,0.995,0.6965,0.57022,4.08797,1.16535,0.000112778,0.000112778,0.000112778
19,42.5056,0.38451,3.30568,1.03473,0.05,1,0.995,0.6965,0.6099,4.07879,1.23775,0.000115848,0.000115848,0.000115848
20,45.5538,0.42812,3.18399,1.01035,0.05,1,0.995,0.6965,0.6099,4.07879,1.23775,0.000118522,0.000118522,0.000118522
21,48.8522,0.45231,3.17167,1.0015,0.07143,1,0.995,0.6965,0.6296,4.06574,1.27002,0.0001208,0.0001208,0.0001208
22,52.172,0.58581,3.10291,1.09722,0.07143,1,0.995,0.6965,0.6296,4.06574,1.27002,0.000122682,0.000122682,0.000122682
23,54.9963,0.55828,3.22991,0.99101,0.05263,1,0.995,0.6965,0.76686,4.14353,1.35576,0.000124168,0.000124168,0.000124168
24,57.6209,0.36752,2.97753,0.95985,0.05263,1,0.995,0.6965,0.76686,4.14353,1.35576,0.000125258,0.000125258,0.000125258
25,60.3165,0.69836,3.41364,1.11073,0.04348,1,0.995,0.6965,0.96931,4.3434,1.57198,0.000125952,0.000125952,0.000125952
26,62.8363,0.48503,3.05122,1.00396,0.04348,1,0.995,0.6965,0.96931,4.3434,1.57198,0.00012625,0.00012625,0.00012625
27,65.4333,0.59007,3.2446,1.04584,0.03846,1,0.995,0.597,1.1845,4.6892,1.86293,0.000126152,0.000126152,0.000126152
28,67.9409,0.44563,2.91031,0.96721,0.03846,1,0.995,0.597,1.1845,4.6892,1.86293,0.000125658,0.000125658,0.000125658
29,70.5569,0.42588,2.85357,0.99577,0.02941,1,0.995,0.597,1.20204,4.60956,1.89868,0.000124768,0.000124768,0.000124768
30,73.0795,0.4432,2.77334,0.90331,0.02941,1,0.995,0.597,1.20204,4.60956,1.89868,0.000123482,0.000123482,0.000123482
31,75.6584,0.34524,3.15321,0.98584,0.025,1,0.995,0.597,1.26871,4.62386,1.97313,0.0001218,0.0001218,0.0001218
32,78.2955,0.3435,2.86731,0.91583,0.025,1,0.995,0.597,1.26871,4.62386,1.97313,0.000119722,0.000119722,0.000119722
33,81.0344,0.52914,3.10179,1.00195,0.02273,1,0.995,0.597,1.23462,4.65206,2.20483,0.000117248,0.000117248,0.000117248
34,83.5381,0.37975,2.91168,0.96443,0.02273,1,0.995,0.597,1.23462,4.65206,2.20483,0.000114378,0.000114378,0.000114378
35,86.2451,0.40223,2.85625,0.92775,0.02174,1,0.995,0.597,1.19351,4.68607,2.03246,0.000111112,0.000111112,0.000111112
36,88.7726,0.62493,3.52628,1.14554,0.02174,1,0.995,0.597,1.19351,4.68607,2.03246,0.00010745,0.00010745,0.00010745
37,91.4414,0.40146,2.88342,0.88457,0.02381,1,0.995,0.6965,1.14551,4.65351,1.92603,0.000103392,0.000103392,0.000103392
38,93.931,0.56435,3.18961,0.92728,0.02381,1,0.995,0.6965,1.14551,4.65351,1.92603,9.8938e-05,9.8938e-05,9.8938e-05
39,96.6412,0.4867,3.11892,0.98821,0.02326,1,0.995,0.6965,1.06066,4.55327,1.82403,9.4088e-05,9.4088e-05,9.4088e-05
40,99.0662,0.4601,2.7711,0.94807,0.02326,1,0.995,0.6965,1.06066,4.55327,1.82403,8.8842e-05,8.8842e-05,8.8842e-05
41,101.644,0.29437,2.85405,0.98755,0.03333,1,0.995,0.6965,1.01906,4.44944,1.76698,8.32e-05,8.32e-05,8.32e-05
42,104.18,0.23394,2.82867,0.8447,0.03333,1,0.995,0.6965,1.01906,4.44944,1.76698,7.7162e-05,7.7162e-05,7.7162e-05
43,106.775,0.44983,2.90152,1.05237,0.03571,1,0.995,0.6965,1.02994,4.47626,1.86283,7.0728e-05,7.0728e-05,7.0728e-05
44,109.257,0.36035,2.81535,1.00242,0.03571,1,0.995,0.6965,1.02994,4.47626,1.86283,6.3898e-05,6.3898e-05,6.3898e-05
45,111.753,0.24827,2.87088,0.99063,0.0625,1,0.995,0.6965,1.07071,4.3881,1.93102,5.6672e-05,5.6672e-05,5.6672e-05
46,114.148,0.38638,2.98035,1.1242,0.0625,1,0.995,0.6965,1.07071,4.3881,1.93102,4.905e-05,4.905e-05,4.905e-05
47,116.771,0.30692,2.8844,0.72729,0.07143,1,0.995,0.6965,1.09297,4.31134,1.95208,4.1032e-05,4.1032e-05,4.1032e-05
48,119.195,0.27114,2.74834,0.872,0.07143,1,0.995,0.6965,1.09297,4.31134,1.95208,3.2618e-05,3.2618e-05,3.2618e-05
49,121.801,0.24873,3.03416,0.86862,0.0625,1,0.995,0.6965,1.20781,4.32967,2.28672,2.3808e-05,2.3808e-05,2.3808e-05
50,124.29,0.21858,2.85426,0.98545,0.0625,1,0.995,0.6965,1.20781,4.32967,2.28672,1.4602e-05,1.4602e-05,1.4602e-05
